source_id,section_header,badness_type,good_overall_across_roles,bad_overall_across_roles,delta_overall,good_flagged_dimensions,bad_flagged_dimensions,expected_low_scoring_dimensions,actual_decreased_dimensions,missed_expected_dimensions,hit_rate
0,GENHX,Timeline distortion + omission-heavy,3.6367,3.3833,0.2533999999999996,"factual_accuracy,usefulness_for_decision_making","factual_accuracy,recent_changes_highlighted,focused_not_cluttered","factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making","relevant_chronic_problem_coverage,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making",factual_accuracy,0.8000
9,GENHX,Under-specification + omission-heavy + poor organization,3.5767,3.4767,0.10000000000000009,"factual_accuracy,timeline_evolution,recent_changes_highlighted,focused_not_cluttered,usefulness_for_decision_making","factual_accuracy,recent_changes_highlighted,focused_not_cluttered","relevant_chronic_problem_coverage,organized_by_condition,timeline_evolution,usefulness_for_decision_making,clarity_readability_formatting","timeline_evolution,usefulness_for_decision_making","relevant_chronic_problem_coverage,organized_by_condition,clarity_readability_formatting",0.4000
14,GENHX,Omission-heavy + contradiction + vagueness,3.93,2.98,0.9500000000000002,"factual_accuracy,organized_by_condition,recent_changes_highlighted,focused_not_cluttered,usefulness_for_decision_making",clarity_readability_formatting,"factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making,clarity_readability_formatting","factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making,clarity_readability_formatting",,1.0000
18,GENHX,Direct contradiction + medication-link removal,3.8533,3.1967,0.6566000000000001,"factual_accuracy,relevant_chronic_problem_coverage,focused_not_cluttered,usefulness_for_decision_making","factual_accuracy,relevant_chronic_problem_coverage,organized_by_condition,recent_changes_highlighted,focused_not_cluttered","factual_accuracy,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making,clarity_readability_formatting","factual_accuracy,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making",clarity_readability_formatting,0.8000
37,GENHX,Contradiction + omission-heavy + false reassurance,3.0867,3.43,-0.34330000000000016,factual_accuracy,"factual_accuracy,focused_not_cluttered","factual_accuracy,recent_changes_highlighted,usefulness_for_decision_making,relevant_chronic_problem_coverage,clarity_readability_formatting",,"factual_accuracy,recent_changes_highlighted,usefulness_for_decision_making,relevant_chronic_problem_coverage,clarity_readability_formatting",0.0000
43,GENHX,Contradiction + exaggeration + omission-heavy,3.1767,3.46,-0.2833000000000001,"factual_accuracy,usefulness_for_decision_making","factual_accuracy,relevant_chronic_problem_coverage,recent_changes_highlighted,usefulness_for_decision_making","factual_accuracy,recent_changes_highlighted,usefulness_for_decision_making,focused_not_cluttered,clarity_readability_formatting",,"factual_accuracy,recent_changes_highlighted,usefulness_for_decision_making,focused_not_cluttered,clarity_readability_formatting",0.0000
53,GENHX,Contradiction + omission-heavy + noise insertion,3.58,3.3033,0.27669999999999995,factual_accuracy,"factual_accuracy,relevant_chronic_problem_coverage,focused_not_cluttered","factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,usefulness_for_decision_making,clarity_readability_formatting","relevant_chronic_problem_coverage,timeline_evolution","factual_accuracy,usefulness_for_decision_making,clarity_readability_formatting",0.4000
59,GENHX,Contradiction + omission-heavy,3.43,2.8767,0.5533000000000001,"factual_accuracy,relevant_chronic_problem_coverage","factual_accuracy,clarity_readability_formatting","factual_accuracy,relevant_chronic_problem_coverage,usefulness_for_decision_making,focused_not_cluttered,clarity_readability_formatting","relevant_chronic_problem_coverage,clarity_readability_formatting","factual_accuracy,usefulness_for_decision_making,focused_not_cluttered",0.4000
62,GENHX,Timeline weakening + omission-heavy + under-calling severity,3.79,3.3833,0.40669999999999984,"factual_accuracy,relevant_chronic_problem_coverage,organized_by_condition,focused_not_cluttered,usefulness_for_decision_making","factual_accuracy,relevant_chronic_problem_coverage,organized_by_condition,timeline_evolution,focused_not_cluttered","factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making","timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making","factual_accuracy,relevant_chronic_problem_coverage",0.6000
81,GENHX,Vagueness + omission-heavy + loss of structural detail,3.0967,3.36,-0.2633000000000001,"factual_accuracy,relevant_chronic_problem_coverage,clarity_readability_formatting","factual_accuracy,relevant_chronic_problem_coverage,focused_not_cluttered","relevant_chronic_problem_coverage,organized_by_condition,usefulness_for_decision_making,clarity_readability_formatting",,"relevant_chronic_problem_coverage,organized_by_condition,usefulness_for_decision_making,clarity_readability_formatting",0.0000
