source_id,section_header,badness_type,good_overall_across_roles,bad_overall_across_roles,delta_overall,good_flagged_dimensions,bad_flagged_dimensions,expected_low_scoring_dimensions,actual_decreased_dimensions,missed_expected_dimensions,hit_rate
0,GENHX,Timeline distortion + omission-heavy,3.41,3.5333,-0.12329999999999997,"recent_changes_highlighted,focused_not_cluttered","factual_accuracy,usefulness_for_decision_making","factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making","relevant_chronic_problem_coverage,recent_changes_highlighted","factual_accuracy,timeline_evolution,usefulness_for_decision_making",0.4000
9,GENHX,Under-specification + omission-heavy + poor organization,3.3033,3.3133,-0.009999999999999787,"factual_accuracy,relevant_chronic_problem_coverage,focused_not_cluttered,clarity_readability_formatting","factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,focused_not_cluttered","relevant_chronic_problem_coverage,organized_by_condition,timeline_evolution,usefulness_for_decision_making,clarity_readability_formatting",timeline_evolution,"relevant_chronic_problem_coverage,organized_by_condition,usefulness_for_decision_making,clarity_readability_formatting",0.2000
14,GENHX,Omission-heavy + contradiction + vagueness,3.4267,3.07,0.3567,"factual_accuracy,relevant_chronic_problem_coverage,focused_not_cluttered,clarity_readability_formatting","factual_accuracy,relevant_chronic_problem_coverage,focused_not_cluttered,usefulness_for_decision_making,clarity_readability_formatting","factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making,clarity_readability_formatting","timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making","factual_accuracy,relevant_chronic_problem_coverage,clarity_readability_formatting",0.5000
18,GENHX,Direct contradiction + medication-link removal,3.8033,3.48,0.32330000000000014,"factual_accuracy,timeline_evolution",factual_accuracy,"factual_accuracy,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making,clarity_readability_formatting","timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making","factual_accuracy,clarity_readability_formatting",0.6000
37,GENHX,Contradiction + omission-heavy + false reassurance,2.8567,3.53,-0.6732999999999998,factual_accuracy,"factual_accuracy,usefulness_for_decision_making","factual_accuracy,recent_changes_highlighted,usefulness_for_decision_making,relevant_chronic_problem_coverage,clarity_readability_formatting",,"factual_accuracy,recent_changes_highlighted,usefulness_for_decision_making,relevant_chronic_problem_coverage,clarity_readability_formatting",0.0000
43,GENHX,Contradiction + exaggeration + omission-heavy,3.4367,3.56,-0.12329999999999997,,"factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making","factual_accuracy,recent_changes_highlighted,usefulness_for_decision_making,focused_not_cluttered,clarity_readability_formatting",factual_accuracy,"recent_changes_highlighted,usefulness_for_decision_making,focused_not_cluttered,clarity_readability_formatting",0.2000
53,GENHX,Contradiction + omission-heavy + noise insertion,3.37,3.4267,-0.05669999999999975,"factual_accuracy,focused_not_cluttered","factual_accuracy,relevant_chronic_problem_coverage,usefulness_for_decision_making","factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,usefulness_for_decision_making,clarity_readability_formatting",relevant_chronic_problem_coverage,"factual_accuracy,timeline_evolution,usefulness_for_decision_making,clarity_readability_formatting",0.2000
59,GENHX,Contradiction + omission-heavy,3.46,2.8833,0.5766999999999998,"factual_accuracy,relevant_chronic_problem_coverage,focused_not_cluttered,clarity_readability_formatting","factual_accuracy,recent_changes_highlighted,clarity_readability_formatting","factual_accuracy,relevant_chronic_problem_coverage,usefulness_for_decision_making,focused_not_cluttered,clarity_readability_formatting","factual_accuracy,relevant_chronic_problem_coverage","usefulness_for_decision_making,focused_not_cluttered,clarity_readability_formatting",0.4000
62,GENHX,Timeline weakening + omission-heavy + under-calling severity,3.4767,3.37,0.10670000000000002,"factual_accuracy,timeline_evolution,focused_not_cluttered,clarity_readability_formatting","factual_accuracy,focused_not_cluttered","factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making","timeline_evolution,recent_changes_highlighted","factual_accuracy,relevant_chronic_problem_coverage,usefulness_for_decision_making",0.4000
81,GENHX,Vagueness + omission-heavy + loss of structural detail,3.0867,3.4,-0.3132999999999999,"relevant_chronic_problem_coverage,timeline_evolution,usefulness_for_decision_making","factual_accuracy,relevant_chronic_problem_coverage,focused_not_cluttered","relevant_chronic_problem_coverage,organized_by_condition,usefulness_for_decision_making,clarity_readability_formatting",usefulness_for_decision_making,"relevant_chronic_problem_coverage,organized_by_condition,clarity_readability_formatting",0.2500
