respondent_id,simulation_seed,q1_primary_role,q1_role_id,q2_years_in_ed,q4_other_dimensions_text,q5_most_unacceptable_error,q6_preferred_format,q7_role_customization_importance,q8_preferred_length,q9_interpretation_preference,q10_critical_findings_presentation,q11_verifiability_importance,q12_other_critical_comments_text,q13_gift_card_draw_opt_in,q3_rank__factual_accuracy,q3_rank__relevant_chronic_problem_coverage,q3_rank__organized_by_condition,q3_rank__timeline_evolution,q3_rank__recent_changes_highlighted,q3_rank__focused_not_cluttered,q3_rank__usefulness_for_decision_making,q3_rank__clarity_readability_formatting
R001,20260414,Emergency medicine physician,emergency_medicine_physician,4-7 years,,Containing incorrect information,Bullet Points,Very important,Balanced,Some interpretation,Highlighted in context within the body,Critically important,,No,1,2,8,7,3,6,4,5
R002,20260414,Emergency medicine physician,emergency_medicine_physician,More than 15 years,,Containing incorrect information,Narrative Paragraphs,Somewhat important,Balanced,Substantial interpretation,Depends on severity,Important,,Yes,7,4,8,6,2,5,1,3
R003,20260414,Emergency medicine physician,emergency_medicine_physician,1-3 years,,Containing incorrect information,Hybrid,Very important,Balanced,Interpretation only when needed,Depends on severity,Important,,No,1,4,8,7,2,5,3,6
R004,20260414,Emergency medicine physician,emergency_medicine_physician,More than 15 years,"Recent medication changes, anticoagulants, and major admissions should have stronger prominence.",Missing Critical Information,Bullet Points,Very important,Balanced,No interpretation,Depends on severity,Critically important,"Surface anticoagulation, major prior investigations, and high-risk return-visit patterns near the top.",No,2,5,8,7,3,4,1,6
R005,20260414,Emergency medicine physician,emergency_medicine_physician,8-15 years,Please add explicit source traceability so I can verify each important claim in the chart.,Missing Critical Information,Bullet Points,Very important,Balanced,Interpretation only when needed,Clearly highlighted at the very top,Important,,No,2,4,8,1,3,7,6,5
R006,20260414,Emergency medicine physician,emergency_medicine_physician,4-7 years,,Missing Critical Information,Bullet Points,Very important,Comprehensive,Some interpretation,Clearly highlighted at the very top,Important,"Surface anticoagulation, major prior investigations, and high-risk return-visit patterns near the top.",No,1,5,8,3,4,7,2,6
R007,20260414,Emergency medicine physician,emergency_medicine_physician,4-7 years,,Other,Bullet Points,Somewhat important,Balanced,Substantial interpretation,Depends on severity,Critically important,,No,3,1,8,6,4,5,2,7
R008,20260414,Emergency medicine physician,emergency_medicine_physician,1-3 years,,Missing Critical Information,Hybrid,Very important,Comprehensive,Some interpretation,Depends on severity,Somewhat important,"Surface anticoagulation, major prior investigations, and high-risk return-visit patterns near the top.",Yes,1,7,8,6,3,2,5,4
R009,20260414,Emergency medicine physician,emergency_medicine_physician,8-15 years,"Recent medication changes, anticoagulants, and major admissions should have stronger prominence.",Containing incorrect information,Bullet Points,Very important,Comprehensive,Interpretation only when needed,Depends on severity,Critically important,,Yes,1,7,8,2,3,5,4,6
R010,20260414,Emergency medicine physician,emergency_medicine_physician,4-7 years,,Missing Critical Information,Hybrid,Very important,Comprehensive,Interpretation only when needed,Clearly highlighted at the very top,Important,,Yes,2,5,8,4,6,7,3,1
R011,20260414,Emergency medicine physician,emergency_medicine_physician,More than 15 years,,Containing incorrect information,Hybrid,Very important,Brevity,Interpretation only when needed,Clearly highlighted at the very top,Important,"Surface anticoagulation, major prior investigations, and high-risk return-visit patterns near the top.",Yes,1,7,8,2,4,3,5,6
R012,20260414,Emergency medicine physician,emergency_medicine_physician,8-15 years,,Containing incorrect information,Hybrid,Very important,Balanced,Some interpretation,Clearly highlighted at the very top,Critically important,,Yes,3,4,8,7,5,6,1,2
R013,20260414,Emergency medicine physician,emergency_medicine_physician,8-15 years,,Containing incorrect information,Hybrid,Very important,Comprehensive,Interpretation only when needed,Clearly highlighted at the very top,Important,"Do not hide uncertainty. If the chart is conflicting, say so clearly rather than over-summarizing.",Yes,1,3,8,6,2,4,5,7
R014,20260414,Emergency medicine physician,emergency_medicine_physician,More than 15 years,,Containing incorrect information,Bullet Points,Very important,Balanced,Interpretation only when needed,Clearly highlighted at the very top,Important,Link statements to source sections in Connect Care whenever possible.,Yes,2,7,8,6,4,5,1,3
R015,20260414,Emergency medicine physician,emergency_medicine_physician,1-3 years,,Missing Critical Information,Other,Very important,Balanced,Interpretation only when needed,Depends on severity,Critically important,"Surface anticoagulation, major prior investigations, and high-risk return-visit patterns near the top.",No,7,4,2,1,3,8,5,6
R016,20260414,Emergency medicine physician,emergency_medicine_physician,1-3 years,"Recent medication changes, anticoagulants, and major admissions should have stronger prominence.",Containing incorrect information,Bullet Points,Very important,Balanced,Some interpretation,Clearly highlighted at the very top,Critically important,,No,1,7,8,2,4,5,3,6
R017,20260414,Emergency medicine physician,emergency_medicine_physician,8-15 years,A confidence or uncertainty flag would help when the longitudinal record is fragmented or contradictory.,Containing incorrect information,Hybrid,Somewhat important,Balanced,Interpretation only when needed,Depends on severity,Important,"Surface anticoagulation, major prior investigations, and high-risk return-visit patterns near the top.",No,5,3,8,2,4,7,1,6
R018,20260414,Emergency medicine physician,emergency_medicine_physician,1-3 years,,Containing incorrect information,Hybrid,Very important,Balanced,Substantial interpretation,Depends on severity,Critically important,Link statements to source sections in Connect Care whenever possible.,No,3,4,6,2,1,8,7,5
R019,20260414,Triage nurse,triage_nurse,1-3 years,,Missing Critical Information,Hybrid,Very important,Brevity,Substantial interpretation,Depends on severity,Important,"The summary should immediately show red flags, isolation concerns, allergies, and recent serious admissions.",No,4,2,8,7,1,5,6,3
R020,20260414,Triage nurse,triage_nurse,8-15 years,"Please show the most recent major change first, rather than a long background history.",Missing Critical Information,Bullet Points,Very important,Balanced,No interpretation,Clearly highlighted at the very top,Important,"Please make it obvious what is new, what is dangerous, and what needs escalation right away.",Yes,2,4,7,8,1,6,5,3
R021,20260414,Triage nurse,triage_nurse,More than 15 years,,Other,Hybrid,Very important,Balanced,Substantial interpretation,Clearly highlighted at the very top,Somewhat important,,No,2,6,8,7,1,4,5,3
R022,20260414,Triage nurse,triage_nurse,8-15 years,,Missing Critical Information,Bullet Points,Very important,Balanced,Some interpretation,Clearly highlighted at the very top,Critically important,,No,3,8,6,7,1,4,2,5
R023,20260414,Triage nurse,triage_nurse,8-15 years,,Excessive length or clutter that makes key points hard to find,Bullet Points,Very important,Brevity,Interpretation only when needed,Clearly highlighted at the very top,Important,,Yes,1,6,7,8,3,5,4,2
R024,20260414,Triage nurse,triage_nurse,1-3 years,,Containing incorrect information,Bullet Points,Very important,Brevity,Interpretation only when needed,Clearly highlighted at the very top,Somewhat important,,No,2,5,8,7,4,6,1,3
R025,20260414,Triage nurse,triage_nurse,8-15 years,,Containing incorrect information,Bullet Points,Very important,Brevity,Interpretation only when needed,Clearly highlighted at the very top,Critically important,,No,5,6,7,8,4,3,2,1
R026,20260414,Triage nurse,triage_nurse,4-7 years,,Missing Critical Information,Bullet Points,Somewhat important,Brevity,Interpretation only when needed,Clearly highlighted at the very top,Critically important,,No,4,7,6,8,1,3,2,5
R027,20260414,Triage nurse,triage_nurse,8-15 years,"Please show the most recent major change first, rather than a long background history.",Containing incorrect information,Bullet Points,Very important,Balanced,Interpretation only when needed,Clearly highlighted at the very top,Important,,No,4,8,7,6,2,5,1,3
R028,20260414,Triage nurse,triage_nurse,4-7 years,,Being too vague or generic to be useful,Other,Very important,Brevity,Some interpretation,No special highlighting needed,Important,A very fast scan section for immediate risk is critical in triage workflow.,No,2,7,8,6,3,4,1,5
R029,20260414,Triage nurse,triage_nurse,8-15 years,,Missing Critical Information,Bullet Points,Very important,Brevity,Some interpretation,Clearly highlighted at the very top,Important,A very fast scan section for immediate risk is critical in triage workflow.,No,1,5,7,8,2,4,3,6
R030,20260414,Triage nurse,triage_nurse,8-15 years,,Missing Critical Information,Bullet Points,Very important,Balanced,Some interpretation,Clearly highlighted at the very top,Important,,No,4,6,7,8,1,5,2,3
R031,20260414,Bedside nurse,bedside_nurse,8-15 years,"Please include baseline function, home supports, and mobility when they affect care planning or discharge.",Containing incorrect information,Bullet Points,Very important,Balanced,Interpretation only when needed,Depends on severity,Critically important,,No,1,3,7,8,6,4,2,5
R032,20260414,Bedside nurse,bedside_nurse,8-15 years,"Please include baseline function, home supports, and mobility when they affect care planning or discharge.",Missing Critical Information,Hybrid,Somewhat important,Brevity,Some interpretation,Highlighted in context within the body,Critically important,,No,6,7,3,8,1,4,5,2
R033,20260414,Bedside nurse,bedside_nurse,8-15 years,,Missing Critical Information,Bullet Points,Very important,Balanced,Interpretation only when needed,Clearly highlighted at the very top,Important,,Yes,1,3,7,4,8,6,5,2
R034,20260414,Bedside nurse,bedside_nurse,8-15 years,,Containing incorrect information,Hybrid,Very important,Comprehensive,Interpretation only when needed,Highlighted in context within the body,Critically important,,No,4,2,1,6,7,8,3,5
R035,20260414,Bedside nurse,bedside_nurse,1-3 years,,Excessive length or clutter that makes key points hard to find,Narrative Paragraphs,Very important,Brevity,Some interpretation,Clearly highlighted at the very top,Critically important,,No,1,4,7,8,5,6,3,2
R036,20260414,Bedside nurse,bedside_nurse,Less than 1 year,,Being too vague or generic to be useful,Other,Very important,Balanced,Some interpretation,Highlighted in context within the body,Important,"Medication changes, allergies, and recent abnormal results should be easy to spot during bedside care.",Yes,6,1,5,8,4,7,3,2
R037,20260414,Bedside nurse,bedside_nurse,1-3 years,,Being too vague or generic to be useful,Hybrid,Very important,Balanced,No interpretation,Highlighted in context within the body,Somewhat important,,No,1,4,8,7,3,2,6,5
R038,20260414,Bedside nurse,bedside_nurse,4-7 years,,Missing Critical Information,Hybrid,Very important,Balanced,Interpretation only when needed,Clearly highlighted at the very top,Important,,No,3,8,7,6,5,4,2,1
