source_id,section_header,badness_type,good_overall_across_roles,bad_overall_across_roles,delta_overall,good_flagged_dimensions,bad_flagged_dimensions,expected_low_scoring_dimensions,actual_decreased_dimensions,missed_expected_dimensions,hit_rate
0,GENHX,Timeline distortion + omission-heavy,3.98,3.3533,0.6267,"factual_accuracy,focused_not_cluttered,usefulness_for_decision_making",focused_not_cluttered,"factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making","factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making",,1.0000
9,GENHX,Under-specification + omission-heavy + poor organization,3.7867,3.4,0.38670000000000027,"factual_accuracy,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making","factual_accuracy,focused_not_cluttered","relevant_chronic_problem_coverage,organized_by_condition,timeline_evolution,usefulness_for_decision_making,clarity_readability_formatting","timeline_evolution,usefulness_for_decision_making","relevant_chronic_problem_coverage,organized_by_condition,clarity_readability_formatting",0.4000
14,GENHX,Omission-heavy + contradiction + vagueness,3.9933,3.19,0.8033000000000001,"factual_accuracy,relevant_chronic_problem_coverage,organized_by_condition",,"factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making,clarity_readability_formatting","factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making",clarity_readability_formatting,0.8333
18,GENHX,Direct contradiction + medication-link removal,3.7933,3.1467,0.6465999999999998,"factual_accuracy,timeline_evolution,focused_not_cluttered,usefulness_for_decision_making",factual_accuracy,"factual_accuracy,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making,clarity_readability_formatting","factual_accuracy,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making",clarity_readability_formatting,0.8000
37,GENHX,Contradiction + omission-heavy + false reassurance,3.11,3.4467,-0.3367,"factual_accuracy,clarity_readability_formatting","factual_accuracy,focused_not_cluttered","factual_accuracy,recent_changes_highlighted,usefulness_for_decision_making,relevant_chronic_problem_coverage,clarity_readability_formatting",,"factual_accuracy,recent_changes_highlighted,usefulness_for_decision_making,relevant_chronic_problem_coverage,clarity_readability_formatting",0.0000
43,GENHX,Contradiction + exaggeration + omission-heavy,3.81,3.61,0.20000000000000018,timeline_evolution,"factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making","factual_accuracy,recent_changes_highlighted,usefulness_for_decision_making,focused_not_cluttered,clarity_readability_formatting","factual_accuracy,recent_changes_highlighted,usefulness_for_decision_making","focused_not_cluttered,clarity_readability_formatting",0.6000
53,GENHX,Contradiction + omission-heavy + noise insertion,3.3033,3.24,0.06329999999999991,"factual_accuracy,relevant_chronic_problem_coverage","relevant_chronic_problem_coverage,focused_not_cluttered","factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,usefulness_for_decision_making,clarity_readability_formatting","factual_accuracy,relevant_chronic_problem_coverage","timeline_evolution,usefulness_for_decision_making,clarity_readability_formatting",0.4000
59,GENHX,Contradiction + omission-heavy,3.4733,2.8,0.6733000000000002,"focused_not_cluttered,usefulness_for_decision_making,clarity_readability_formatting","factual_accuracy,clarity_readability_formatting","factual_accuracy,relevant_chronic_problem_coverage,usefulness_for_decision_making,focused_not_cluttered,clarity_readability_formatting","factual_accuracy,relevant_chronic_problem_coverage,usefulness_for_decision_making,focused_not_cluttered,clarity_readability_formatting",,1.0000
62,GENHX,Timeline weakening + omission-heavy + under-calling severity,3.8967,3.5133,0.38339999999999996,factual_accuracy,"factual_accuracy,organized_by_condition","factual_accuracy,relevant_chronic_problem_coverage,timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making","timeline_evolution,recent_changes_highlighted,usefulness_for_decision_making","factual_accuracy,relevant_chronic_problem_coverage",0.6000
81,GENHX,Vagueness + omission-heavy + loss of structural detail,3.3433,3.3533,-0.009999999999999787,"factual_accuracy,relevant_chronic_problem_coverage,recent_changes_highlighted,focused_not_cluttered,usefulness_for_decision_making,clarity_readability_formatting","timeline_evolution,recent_changes_highlighted,focused_not_cluttered","relevant_chronic_problem_coverage,organized_by_condition,usefulness_for_decision_making,clarity_readability_formatting",usefulness_for_decision_making,"relevant_chronic_problem_coverage,organized_by_condition,clarity_readability_formatting",0.2500
